"State.Code","County.Code","Latitude","Longitude","Datum","Sample.Duration","Metric.Used","Units.of.Measure","Observation.Count","Observation.Percent","Arithmetic.Mean","Arithmetic.Standard.Dev","X50th.Percentile","GEOID","total_population","total_no_vehicle","total_carpool_vehicle","total_private_vehicle","total_public_transit","ppt","tmax","tmin","tmean"
"01","073",33.553056,-86.815,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7615,87,23.252599,9.89713,23.2,"01073",659680,7272,29664,249841,2666,1483.73291015625,24.2628002166748,13.0857000350952,18.6740989685059
"01","073",33.521427,-86.844112,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7559,86,26.045122,11.557474,25.9,"01073",659680,7272,29664,249841,2666,1483.73291015625,24.2628002166748,13.0857000350952,18.6740989685059
"04","013",33.48378,-112.14256,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8578,98,30.731302,10.32001,33,"04013",4328810,54441,225003,1550543,40675,249.962997436523,29.5153999328613,16.7047004699707,23.1099987030029
"04","013",33.45797,-112.04659,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8527,97,34.25419,11.323097,36,"04013",4328810,54441,225003,1550543,40675,223.752990722656,29.6341991424561,16.9811000823975,23.3074989318848
"04","013",33.36985,-112.62068,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8667,99,17.109589,6.73714,17,"04013",4328810,54441,225003,1550543,40675,239.412994384766,29.4655990600586,14.0458993911743,21.7555999755859
"04","013",33.39623,-111.96799,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8623,98,33.632877,8.786041,34,"04013",4328810,54441,225003,1550543,40675,228.153900146484,29.7180995941162,16.0573997497559,22.8875999450684
"04","013",33.46173,-112.12796,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7131,81,39.143333,9.44104,39,"04013",4328810,54441,225003,1550543,40675,227.797897338867,29.6794986724854,16.7124004364014,23.1958999633789
"04","013",33.503833,-112.095767,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8614,98,29.32259,11.092847,31.4,"04013",4328810,54441,225003,1550543,40675,246.276992797852,29.5708999633789,16.7544002532959,23.1624984741211
"04","019",32.204411,-110.878067,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8121,93,18.416129,8.112206,16.8,"04019",1027207,14689,44152,339953,10109,326.162994384766,28.3128986358643,13.260199546814,20.7863998413086
"04","019",32.29515,-110.9823,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8575,98,16.388579,6.686701,15.6,"04019",1027207,14689,44152,339953,10109,336.289978027344,28.6873989105225,12.9209995269775,20.8039989471436
"05","035",35.197288,-90.193141,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8468,97,17.987288,9.142599,16.2,"05035",48672,683,2358,16640,51,1972.12475585938,22.1014003753662,11.6925001144409,16.8967990875244
"05","119",34.756189,-92.281296,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8717,100,19.026099,9.169251,18.2,"05119",392967,4859,17811,152578,1545,1727.50695800781,22.2952003479004,11.0683994293213,16.6815986633301
